pair_id,event_id,city_id,year,t0,t1,delta_t_hours,delta_t_days,delta_t_bucket,forecast_forcing_available,forecast_coverage_fraction,forecast_status,obs_in_horizon_coverage,obs_in_horizon_availability,hydrological_state_availability,label_valid_fraction,unknown_fraction,new_flood_fraction
evt:2017-04-12|dhaka_sw|ENSEMBLE_FLOOD_20170508T235552_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170520T235553_VV_AS020M_E039N021T3,evt:2017-04-12,dhaka_sw,2017,2017-05-08T23:55:52Z,2017-05-20T23:55:53Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.81689453125,0.18310546875,0.0
evt:2017-04-12|kishoreganj|ENSEMBLE_FLOOD_20170412T120427_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3,evt:2017-04-12,kishoreganj,2017,2017-04-12T12:04:27Z,2017-04-24T12:04:28Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,1.0,0.0,0.178466796875
evt:2017-04-12|kishoreganj|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3,evt:2017-04-12,kishoreganj,2017,2017-04-24T12:04:28Z,2017-05-06T12:04:28Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,1.0,0.0,0.040771484375
evt:2017-04-12|kishoreganj|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170518T120429_VV_AS020M_E039N021T3,evt:2017-04-12,kishoreganj,2017,2017-05-06T12:04:28Z,2017-05-18T12:04:29Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,1.0,0.0,0.002685546875
evt:2017-04-12|netrokona|ENSEMBLE_FLOOD_20170412T120427_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3,evt:2017-04-12,netrokona,2017,2017-04-12T12:04:27Z,2017-04-24T12:04:28Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,1.0,0.0,0.0576171875
evt:2017-04-12|netrokona|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3,evt:2017-04-12,netrokona,2017,2017-04-24T12:04:28Z,2017-05-06T12:04:28Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,1.0,0.0,0.015869140625
evt:2017-04-12|netrokona|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170518T120429_VV_AS020M_E039N021T3,evt:2017-04-12,netrokona,2017,2017-05-06T12:04:28Z,2017-05-18T12:04:29Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,1.0,0.0,0.001953125
evt:2017-04-12|sunamganj|ENSEMBLE_FLOOD_20170412T120427_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3,evt:2017-04-12,sunamganj,2017,2017-04-12T12:04:27Z,2017-04-24T12:04:28Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.676513671875,0.323486328125,0.1966798989534464
evt:2017-04-12|sunamganj|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3,evt:2017-04-12,sunamganj,2017,2017-04-24T12:04:28Z,2017-05-06T12:04:28Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.6796875,0.3203125,0.1591235632183908
evt:2017-04-12|sunamganj|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170518T120429_VV_AS020M_E039N021T3,evt:2017-04-12,sunamganj,2017,2017-05-06T12:04:28Z,2017-05-18T12:04:29Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.679931640625,0.320068359375,0.0010771992818671453
evt:2017-07-31|dhaka_ne|ENSEMBLE_FLOOD_20170810T120434_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170822T120434_VV_AS020M_E039N021T3,evt:2017-07-31,dhaka_ne,2017,2017-08-10T12:04:34Z,2017-08-22T12:04:34Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.1142578125,0.8857421875,0.01282051282051282
evt:2017-07-31|dhaka_nw|ENSEMBLE_FLOOD_20170810T120434_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170822T120434_VV_AS020M_E039N021T3,evt:2017-07-31,dhaka_nw,2017,2017-08-10T12:04:34Z,2017-08-22T12:04:34Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.327880859375,0.672119140625,0.09233060312732688
evt:2017-07-31|dhaka_se|ENSEMBLE_FLOOD_20170731T235557_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170812T235557_VV_AS020M_E039N021T3,evt:2017-07-31,dhaka_se,2017,2017-07-31T23:55:57Z,2017-08-12T23:55:57Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.5654296875,0.4345703125,0.0
evt:2017-07-31|dhaka_se|ENSEMBLE_FLOOD_20170812T235557_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170824T235558_VV_AS020M_E039N021T3,evt:2017-07-31,dhaka_se,2017,2017-08-12T23:55:57Z,2017-08-24T23:55:58Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.597412109375,0.402587890625,0.004086636697997548
evt:2017-07-31|dhaka_sw|ENSEMBLE_FLOOD_20170731T235557_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170812T235557_VV_AS020M_E039N021T3,evt:2017-07-31,dhaka_sw,2017,2017-07-31T23:55:57Z,2017-08-12T23:55:57Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.703857421875,0.296142578125,0.001387443635102324
evt:2017-07-31|dhaka_sw|ENSEMBLE_FLOOD_20170812T235557_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170824T235558_VV_AS020M_E039N021T3,evt:2017-07-31,dhaka_sw,2017,2017-08-12T23:55:57Z,2017-08-24T23:55:58Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.81640625,0.18359375,0.012858851674641148
evt:2017-07-31|kishoreganj|ENSEMBLE_FLOOD_20170810T120434_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170822T120434_VV_AS020M_E039N021T3,evt:2017-07-31,kishoreganj,2017,2017-08-10T12:04:34Z,2017-08-22T12:04:34Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,1.0,0.0,0.038818359375
evt:2017-07-31|netrokona|ENSEMBLE_FLOOD_20170810T120434_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170822T120434_VV_AS020M_E039N021T3,evt:2017-07-31,netrokona,2017,2017-08-10T12:04:34Z,2017-08-22T12:04:34Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,1.0,0.0,0.0888671875
evt:2017-07-31|sunamganj|ENSEMBLE_FLOOD_20170810T120434_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170822T120434_VV_AS020M_E039N021T3,evt:2017-07-31,sunamganj,2017,2017-08-10T12:04:34Z,2017-08-22T12:04:34Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.683837890625,0.316162109375,0.02820421278114959
evt:2018-01-13|dhaka_ne|ENSEMBLE_FLOOD_20180113T120433_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20180125T120433_VV_AS020M_E039N021T3,evt:2018-01-13,dhaka_ne,2018,2018-01-13T12:04:33Z,2018-01-25T12:04:33Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.1142578125,0.8857421875,0.0
